Centre;Action;Bague;Date;Heure;Espece;Sexe;Age;Dept;Localite;lieudit;LP;MA;AD;Condrepr;Circrepr;Theme;Bagueur;HS;DS;FS;RE;CS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRP;B;622060;24/04/2009;23H00;CALDIO;F?;+1A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;47,8;;;;;;;13,3
FRP;B;622061;24/04/2009;23H00;CALDIO;M?;+1A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;54,7;;;;;;;15,4
FRP;B;622063;24/04/2009;23H00;CALDIO;F?;+1A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;48,6;;;;;;;12,5
FRP;B;622064;24/04/2009;23H00;CALDIO;?;+1A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
FRP;B;622065;24/04/2009;23H00;CALDIO;?;+1A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;;;;;;;;
FRP;B;622067;24/04/2009;23H00;CALDIO;F?;+1A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;49,5;;;;;;;15
FRP;B;622066;24/04/2009;23H00;CALDIO;M;+1A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;CP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;54,6;;;;;;;15
FRP;B;622068;24/04/2009;23H00;CALDIO;M?;+1A;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;50;;;;;;;14,9
FRP;B;620803;10/10/2009;16H00;CALDIO;M?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;51,3;;;;;;;
FRP;B;620804;10/10/2009;16H00;CALDIO;M?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;53,1;;;;;;;
FRP;B;620805;10/10/2009;16H00;CALDIO;F?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;49,1;;;;;;;
FRP;B;620806;10/10/2009;16H00;CALDIO;M?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;50,6;;;;;;;
FRP;B;620807;10/10/2009;16H00;CALDIO;M?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;52,7;;;;;;;
FRP;B;620808;10/10/2009;16H00;CALDIO;F?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;48,8;;;;;;;
FRP;B;620809;10/10/2009;16H00;CALDIO;F?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;48,8;;;;;;;
FRP;B;620810;10/10/2009;16H00;CALDIO;F?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;49,8;;;;;;;
FRP;B;620811;10/10/2009;16H00;CALDIO;F?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;49;;;;;;;
FRP;B;620812;10/10/2009;16H00;CALDIO;M?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;51,9;;;;;;;
FRP;B;620813;10/10/2009;16H00;CALDIO;M?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;54,1;;;;;;;
FRP;B;620814;10/10/2009;16H00;CALDIO;F?;PUL;2A;BONIFACIO;Archipel des Lavezzi;;;;8;20;PROG PERS;CULIOLI, Jean-Michel;;;;;DT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CULIOLI, Jean Michel;;;49,2;;;;;;;
